id,sector,skills,education,location
24,Gems & Jewellery,Gemology; Merchandising; CAD Design; Jewellery Design; Retail Management,Certificate in Gemology,Nashik
25,FMCG,Sales; Product Management; Marketing; Brand Management,Diploma Business Management,Ranchi
26,Travel & Logistics,Supply Chain; Customer Service; Warehouse Management; Inventory Management,Diploma Logistics,Vijayawada
27,Housing/Infrastructure,Construction Management; Structural Analysis; AutoCAD; Civil Engineering; Urban Planning,B.Tech Civil,Delhi
28,Gems & Jewellery,CAD Design; Retail Management; Gemology; Jewellery Design; Quality Control,Diploma Jewellery Design,Hubli
29,FMCG,Brand Management; Marketing; Supply Chain; Consumer Behaviour; Product Management; Sales,BBA,Ahmedabad
30,Research,Statistics; Scientific Writing; Experimentation; Data Analysis; Machine Learning; Laboratory Techniques,PhD,Ranchi
31,Housing/Infrastructure,Project Management; Construction Management; Structural Analysis; Urban Planning,Diploma Civil,Bhopal
32,IT/Software,SQL; Web Development; Java,B.Tech Information Technology,Indore
33,Education,Classroom Management; Teaching; Assessment Design; Curriculum Development; Public Speaking,PhD Education,Srinagar
34,Chemical Industries,Safety Management; Process Design; Chemical Engineering,M.Sc Chemistry,Gwalior
35,Pharamaceutical,Drug Development; Pharmacology; Quality Control; Clinical Trials; Medical Research; Regulatory Affairs,M.Pharm,Kolkata
36,Travel & Logistics,Supply Chain; Warehouse Management; Transportation Planning,BBA,Chennai
37,IT/Software,C++; Machine Learning; Web Development,MCA,Kanpur
38,Travel & Logistics,Supply Chain; Warehouse Management; Transportation Planning; Inventory Management; Customer Service,BBA,Rajkot
39,Chemical Industries,Material Science; Quality Control; Chemical Engineering; Safety Management; Process Design,M.Sc Chemistry,Delhi
40,Pharamaceutical,Regulatory Affairs; Clinical Trials; Quality Control,B.Pharm,Thane
41,Pharamaceutical,Drug Development; Quality Control; Clinical Trials; Pharmacology; Medical Research; Regulatory Affairs,M.Pharm,Dhanbad
42,Finance/Banking,Risk Management; Auditing; Accounting,CA,Bangalore
43,IT/Software,C++; Java; Cybersecurity,B.Tech Computer Science,Amritsar
44,IT/Software,Python; Machine Learning; Data Analysis; SQL,B.Tech Computer Science,Gwalior
45,Agriculture,Crop Management; Soil Science; Agribusiness; Fertilizer Application,Diploma Agriculture,Aligarh
46,Agriculture,Crop Management; Irrigation Systems; Farm Mechanization; Agribusiness,Diploma Agriculture,Ludhiana
47,Travel & Logistics,Warehouse Management; Transportation Planning; Customer Service; Inventory Management,Diploma Logistics,Bareilly
48,Design,3D Modeling; UI/UX; Graphic Design; Illustration; AutoCAD; Adobe Photoshop,B.Des,Visakhapatnam
49,Healthcare,Clinical Research; Nursing; Phlebotomy; Public Health,MD,Vadodara
50,Chemical Industries,Quality Control; Material Science; Industrial Chemistry,M.Sc Chemistry,Hyderabad
51,Finance/Banking,Financial Analysis; Auditing; Investment Banking; Accounting; Risk Management,B.Com,Tiruchirappalli
52,Gems & Jewellery,Quality Control; Retail Management; Gemology; CAD Design; Merchandising; Jewellery Design,Diploma Jewellery Design,Lucknow
53,Healthcare,Public Health; Phlebotomy; Nursing; Surgery Assistance; Clinical Research,Diploma in Medical Lab Technology,Pune
54,Finance/Banking,Excel; Financial Analysis; Investment Banking; Data Analysis; Risk Management,B.Com,Ahmedabad
55,Agriculture,Irrigation Systems; Soil Science; Crop Management; Fertilizer Application,B.Sc Agriculture,Jodhpur
56,Research,Machine Learning; Data Analysis; Laboratory Techniques; Experimentation,PhD,Jabalpur
57,Gems & Jewellery,Jewellery Design; Gemology; Quality Control,Diploma Jewellery Design,Jaipur
58,Pharamaceutical,Regulatory Affairs; Clinical Trials; Pharmacology; Medical Research,PhD Pharmacy,Jabalpur
59,Gems & Jewellery,Merchandising; Gemology; CAD Design; Retail Management; Quality Control,B.Des Jewellery,Jaipur
60,Design,Graphic Design; UI/UX; 3D Modeling; Illustration,M.Des,Mysore
61,Defence,Aerospace Engineering; Military Tactics; Cybersecurity; Strategic Planning; Navigation Systems; Weapon Systems,B.Tech Mechanical,Pune
62,FMCG,Sales; Product Management; Marketing,MBA Marketing,Varanasi
63,Gems & Jewellery,Retail Management; Quality Control; Gemology; Jewellery Design; CAD Design; Merchandising,B.Des Jewellery,Bareilly
64,Travel & Logistics,Operations Management; Warehouse Management; Customer Service; Inventory Management; Transportation Planning; Supply Chain,BBA,Kolkata
65,Healthcare,Clinical Research; Nursing; Phlebotomy; Public Health; Patient Care,Diploma in Medical Lab Technology,Kolkata
66,Chemical Industries,Chemical Engineering; Safety Management; Material Science,M.Sc Chemistry,Meerut
67,Agriculture,Soil Science; Fertilizer Application; Crop Management; Agribusiness,Diploma Agriculture,Bareilly
68,Design,Graphic Design; Adobe Photoshop; 3D Modeling; Illustration; AutoCAD,M.Des,Madurai
69,IT/Software,Data Analysis; Cybersecurity; C++; Java; Machine Learning,B.Tech Information Technology,Ludhiana
70,Research,Experimentation; Scientific Writing; Machine Learning; Data Analysis; Statistics,M.Sc Research Methodology,Vadodara
71,FMCG,Consumer Behaviour; Marketing; Brand Management; Product Management; Supply Chain; Sales,MBA Marketing,Bhopal
72,Defence,Weapon Systems; Cybersecurity; Navigation Systems; Aerospace Engineering,Defence Studies,Jodhpur
73,Education,Teaching; Classroom Management; Educational Research; Public Speaking; Assessment Design; Curriculum Development,M.Ed,Hubli
74,Pharamaceutical,Medical Research; Quality Control; Pharmacology; Regulatory Affairs; Drug Development,B.Pharm,Kota
75,Pharamaceutical,Drug Development; Regulatory Affairs; Pharmacology; Quality Control; Medical Research; Clinical Trials,B.Pharm,Mumbai
76,Chemical Industries,Quality Control; Safety Management; Process Design,B.Tech Chemical Engineering,Indore
77,Gems & Jewellery,CAD Design; Retail Management; Merchandising; Gemology; Jewellery Design,Certificate in Gemology,Allahabad
78,Travel & Logistics,Operations Management; Transportation Planning; Supply Chain; Warehouse Management; Inventory Management,BBA,Aligarh
79,Defence,Cybersecurity; Navigation Systems; Military Tactics,Defence Studies,Ludhiana
80,IT/Software,Cybersecurity; Cloud Computing; Machine Learning; C++,MCA,Chandigarh
81,Pharamaceutical,Regulatory Affairs; Medical Research; Drug Development; Quality Control; Pharmacology; Clinical Trials,B.Pharm,Bhopal
82,Chemical Industries,Process Design; Chemical Engineering; Quality Control; Material Science; Industrial Chemistry,M.Sc Chemistry,Ludhiana
83,Travel & Logistics,Transportation Planning; Warehouse Management; Supply Chain; Operations Management,MBA Operations,Hyderabad
84,Travel & Logistics,Supply Chain; Operations Management; Customer Service,MBA Operations,Bareilly
85,Education,Classroom Management; Curriculum Development; Assessment Design; Teaching,PhD Education,Vijayawada
86,Healthcare,Nursing; Clinical Research; Surgery Assistance; Patient Care,Diploma in Medical Lab Technology,Madurai
87,Defence,Weapon Systems; Cybersecurity; Military Tactics; Strategic Planning; Navigation Systems,B.Tech Electronics,Ludhiana
88,IT/Software,Web Development; Cloud Computing; Data Analysis; Java; SQL; Python,MCA,Ahmedabad
89,Research,Experimentation; Machine Learning; Scientific Writing; Data Analysis; Laboratory Techniques,M.Sc Research Methodology,Kota
90,Finance/Banking,Auditing; Investment Banking; Excel,CA,Ranchi
91,Travel & Logistics,Operations Management; Inventory Management; Supply Chain; Customer Service; Warehouse Management,BBA,Raipur
92,Education,Teaching; Educational Research; Classroom Management; Curriculum Development; Public Speaking; Assessment Design,M.Ed,Nagpur
93,Gems & Jewellery,CAD Design; Quality Control; Retail Management; Merchandising; Gemology,Diploma Jewellery Design,Madurai
94,Chemical Industries,Safety Management; Material Science; Quality Control,M.Sc Chemistry,Nagpur
95,Agriculture,Crop Management; Fertilizer Application; Agribusiness; Farm Mechanization; Irrigation Systems; Soil Science,M.Sc Agriculture,Ahmedabad
96,Chemical Industries,Quality Control; Chemical Engineering; Industrial Chemistry; Safety Management; Material Science,B.Tech Chemical Engineering,Varanasi
97,Agriculture,Farm Mechanization; Irrigation Systems; Crop Management; Soil Science; Agribusiness,Diploma Agriculture,Nagpur
98,Pharamaceutical,Medical Research; Clinical Trials; Regulatory Affairs; Drug Development,PhD Pharmacy,Guwahati
99,Chemical Industries,Chemical Engineering; Industrial Chemistry; Quality Control; Safety Management; Process Design; Material Science,M.Sc Chemistry,Kalyan
100,Design,3D Modeling; Illustration; Graphic Design; AutoCAD,Diploma in Design,Navi Mumbai
101,Housing/Infrastructure,Construction Management; Structural Analysis; Urban Planning,B.Tech Civil,Nagpur
102,Design,3D Modeling; AutoCAD; UI/UX; Illustration; Adobe Photoshop; Graphic Design,B.Des,Howrah
103,Agriculture,Farm Mechanization; Soil Science; Irrigation Systems; Crop Management; Fertilizer Application,M.Sc Agriculture,Faridabad
104,Finance/Banking,Excel; Financial Analysis; Auditing,B.Com,Ahmedabad
105,Pharamaceutical,Regulatory Affairs; Clinical Trials; Pharmacology; Drug Development; Quality Control,PhD Pharmacy,Thane
106,Research,Laboratory Techniques; Statistics; Experimentation; Data Analysis,M.Tech,Chandigarh
107,IT/Software,Cloud Computing; Machine Learning; Java,MCA,Bhopal
108,Pharamaceutical,Pharmacology; Medical Research; Drug Development; Clinical Trials,PhD Pharmacy,Ranchi
109,Finance/Banking,Auditing; Financial Analysis; Investment Banking; Data Analysis; Risk Management; Accounting,CA,Hubli
110,Education,Curriculum Development; Public Speaking; Teaching; Assessment Design; Classroom Management; Educational Research,B.Ed,Srinagar
111,Gems & Jewellery,CAD Design; Merchandising; Retail Management; Quality Control; Gemology,Diploma Jewellery Design,Faridabad
112,Research,Laboratory Techniques; Experimentation; Machine Learning; Statistics; Scientific Writing; Data Analysis,M.Sc Research Methodology,Kolkata
113,Research,Data Analysis; Scientific Writing; Statistics; Machine Learning,M.Sc Research Methodology,Bareilly
114,Design,Illustration; AutoCAD; UI/UX; Graphic Design,B.Des,Kalyan
115,Pharamaceutical,Pharmacology; Clinical Trials; Quality Control,B.Pharm,Nashik
116,Gems & Jewellery,Merchandising; Retail Management; Quality Control; Gemology; CAD Design,B.Des Jewellery,Hyderabad
117,Design,Illustration; Adobe Photoshop; Graphic Design,B.Des,Dhanbad
118,Finance/Banking,Investment Banking; Data Analysis; Financial Analysis; Accounting,CA,Ghaziabad
119,Defence,Cybersecurity; Strategic Planning; Weapon Systems; Navigation Systems; Military Tactics,Defence Studies,Nagpur
120,Design,Graphic Design; UI/UX; 3D Modeling; Illustration,Diploma in Design,Indore
121,Travel & Logistics,Supply Chain; Transportation Planning; Warehouse Management; Inventory Management; Operations Management; Customer Service,BBA,Gwalior
122,Research,Laboratory Techniques; Statistics; Scientific Writing; Machine Learning; Experimentation; Data Analysis,M.Tech,Nashik
123,Agriculture,Irrigation Systems; Fertilizer Application; Farm Mechanization; Crop Management,M.Sc Agriculture,Madurai
124,IT/Software,Web Development; Cloud Computing; SQL; Data Analysis; Java; C++,B.Tech Information Technology,Hyderabad
125,Agriculture,Soil Science; Farm Mechanization; Agribusiness; Irrigation Systems; Fertilizer Application; Crop Management,Diploma Agriculture,Thane
126,Education,Teaching; Assessment Design; Classroom Management; Educational Research,PhD Education,Pune
127,IT/Software,SQL; Cloud Computing; Web Development; C++; Java; Python,B.Tech Information Technology,Kanpur
128,Education,Educational Research; Assessment Design; Teaching,M.Ed,Dhanbad
129,Pharamaceutical,Medical Research; Regulatory Affairs; Quality Control; Pharmacology; Clinical Trials,M.Pharm,Faridabad
130,Gems & Jewellery,CAD Design; Merchandising; Jewellery Design; Gemology,Diploma Jewellery Design,Madurai
131,Travel & Logistics,Warehouse Management; Operations Management; Inventory Management; Supply Chain,BBA,Delhi
132,Pharamaceutical,Quality Control; Drug Development; Regulatory Affairs; Clinical Trials,M.Pharm,Srinagar
133,Healthcare,Public Health; Patient Care; Phlebotomy,B.Sc Nursing,Jodhpur
134,IT/Software,Cloud Computing; Cybersecurity; Python; Machine Learning; Java; SQL,MCA,Tiruchirappalli
135,Research,Laboratory Techniques; Scientific Writing; Machine Learning,M.Sc Research Methodology,Raipur
136,Healthcare,Phlebotomy; Patient Care; Clinical Research; Surgery Assistance; Public Health,MD,Amritsar
137,Healthcare,Nursing; Phlebotomy; Clinical Research; Patient Care; Surgery Assistance,MBBS,Mumbai
138,FMCG,Supply Chain; Marketing; Sales,BBA,Allahabad
139,Defence,Navigation Systems; Aerospace Engineering; Strategic Planning; Weapon Systems; Cybersecurity,B.Tech Electronics,Patna
140,Design,Adobe Photoshop; 3D Modeling; UI/UX; Illustration; AutoCAD; Graphic Design,M.Des,Lucknow
141,Healthcare,Nursing; Patient Care; Phlebotomy; Public Health,MD,Pune
142,Healthcare,Public Health; Phlebotomy; Patient Care; Surgery Assistance,Diploma in Medical Lab Technology,Mumbai
143,Design,AutoCAD; 3D Modeling; Illustration,B.Des,Kalyan
144,Finance/Banking,Auditing; Risk Management; Data Analysis; Financial Analysis; Accounting; Excel,MBA Finance,Hubli
145,Education,Assessment Design; Teaching; Educational Research; Curriculum Development,M.Ed,Kalyan
146,Healthcare,Surgery Assistance; Phlebotomy; Nursing; Clinical Research,MD,Howrah
147,Gems & Jewellery,Jewellery Design; Quality Control; Merchandising,Certificate in Gemology,Srinagar
148,Healthcare,Public Health; Surgery Assistance; Patient Care; Nursing; Clinical Research,Diploma in Medical Lab Technology,Hubli
149,Healthcare,Phlebotomy; Patient Care; Public Health; Surgery Assistance; Clinical Research; Nursing,B.Sc Nursing,Meerut
150,Research,Laboratory Techniques; Machine Learning; Statistics; Data Analysis; Scientific Writing,M.Tech,Raipur
151,Education,Teaching; Curriculum Development; Assessment Design; Educational Research; Classroom Management; Public Speaking,M.Ed,Indore
152,IT/Software,Machine Learning; Data Analysis; Java; C++; Python,B.Tech Information Technology,Ranchi
153,Healthcare,Patient Care; Public Health; Clinical Research; Phlebotomy; Surgery Assistance,MBBS,Kolkata
154,Pharamaceutical,Pharmacology; Regulatory Affairs; Clinical Trials; Quality Control; Medical Research; Drug Development,PhD Pharmacy,Kota
155,Research,Statistics; Scientific Writing; Experimentation; Laboratory Techniques,M.Tech,Pune
156,Healthcare,Public Health; Surgery Assistance; Phlebotomy; Patient Care; Clinical Research,MD,Solapur
157,Pharamaceutical,Quality Control; Drug Development; Medical Research; Pharmacology; Regulatory Affairs; Clinical Trials,B.Pharm,Patna
158,Pharamaceutical,Clinical Trials; Pharmacology; Medical Research; Quality Control,M.Pharm,Delhi
159,Education,Teaching; Classroom Management; Curriculum Development,PhD Education,Patna
160,Agriculture,Fertilizer Application; Agribusiness; Irrigation Systems; Crop Management; Soil Science,M.Sc Agriculture,Faridabad
161,Research,Data Analysis; Statistics; Scientific Writing,M.Sc Research Methodology,Ludhiana
162,Pharamaceutical,Pharmacology; Drug Development; Regulatory Affairs,B.Pharm,Rajkot
163,FMCG,Consumer Behaviour; Marketing; Product Management,MBA Marketing,Guwahati
164,Design,Illustration; AutoCAD; UI/UX; Adobe Photoshop,Diploma in Design,Allahabad
165,Research,Statistics; Laboratory Techniques; Data Analysis,PhD,Indore
166,Defence,Aerospace Engineering; Navigation Systems; Cybersecurity; Military Tactics,B.Tech Electronics,Thane
167,Healthcare,Nursing; Phlebotomy; Patient Care; Public Health,Diploma in Medical Lab Technology,Kolkata
168,Education,Classroom Management; Public Speaking; Curriculum Development,B.Ed,Chennai
169,Education,Educational Research; Teaching; Assessment Design; Classroom Management; Public Speaking,PhD Education,Faridabad
170,Pharamaceutical,Regulatory Affairs; Clinical Trials; Quality Control; Drug Development; Pharmacology,B.Pharm,Navi Mumbai
171,FMCG,Sales; Supply Chain; Consumer Behaviour,Diploma Business Management,Vadodara
172,Travel & Logistics,Transportation Planning; Inventory Management; Supply Chain; Customer Service; Warehouse Management,MBA Operations,Bangalore
173,Finance/Banking,Financial Analysis; Risk Management; Auditing; Investment Banking; Accounting,B.Com,Amritsar
174,Finance/Banking,Financial Analysis; Auditing; Risk Management,MBA Finance,Mumbai
175,Defence,Weapon Systems; Military Tactics; Cybersecurity; Strategic Planning; Navigation Systems; Aerospace Engineering,B.Tech Mechanical,Bhopal
176,FMCG,Marketing; Brand Management; Supply Chain; Product Management; Consumer Behaviour,Diploma Business Management,Rajkot
177,Chemical Industries,Industrial Chemistry; Chemical Engineering; Process Design,M.Sc Chemistry,Amritsar
178,Housing/Infrastructure,Civil Engineering; Urban Planning; Project Management; Structural Analysis,Diploma Civil,Hyderabad
179,Education,Teaching; Educational Research; Curriculum Development,M.Ed,Guwahati
180,Education,Assessment Design; Teaching; Classroom Management; Public Speaking; Curriculum Development,M.Ed,Nagpur
181,Travel & Logistics,Inventory Management; Customer Service; Supply Chain; Warehouse Management,MBA Operations,Kalyan
182,Defence,Weapon Systems; Strategic Planning; Military Tactics,B.Tech Electronics,Bangalore
183,IT/Software,Python; Cloud Computing; C++; Data Analysis; Machine Learning,MCA,Tiruchirappalli
184,Pharamaceutical,Clinical Trials; Quality Control; Medical Research; Pharmacology; Drug Development; Regulatory Affairs,M.Pharm,Agra
185,Healthcare,Patient Care; Phlebotomy; Public Health,B.Sc Nursing,Jaipur
186,Gems & Jewellery,Retail Management; CAD Design; Quality Control; Merchandising; Jewellery Design; Gemology,Certificate in Gemology,Hyderabad
187,Travel & Logistics,Transportation Planning; Supply Chain; Customer Service; Inventory Management; Operations Management,Diploma Logistics,Thane
188,Design,Graphic Design; 3D Modeling; AutoCAD; UI/UX,M.Des,Howrah
189,Design,Illustration; Adobe Photoshop; UI/UX; Graphic Design; AutoCAD,Diploma in Design,Bangalore
190,Housing/Infrastructure,Urban Planning; Project Management; Civil Engineering,M.Tech Structural Engineering,Aurangabad
191,Housing/Infrastructure,AutoCAD; Structural Analysis; Urban Planning; Project Management,M.Tech Structural Engineering,Patna
192,Research,Laboratory Techniques; Statistics; Experimentation; Machine Learning; Data Analysis,M.Sc Research Methodology,Kanpur
193,Chemical Industries,Quality Control; Chemical Engineering; Material Science; Industrial Chemistry; Process Design,M.Sc Chemistry,Mumbai
194,Research,Statistics; Experimentation; Machine Learning,PhD,Hyderabad
195,Education,Assessment Design; Educational Research; Public Speaking; Teaching,M.Ed,Rajkot
196,Chemical Industries,Quality Control; Chemical Engineering; Material Science; Safety Management; Industrial Chemistry,M.Sc Chemistry,Chandigarh
197,Research,Data Analysis; Statistics; Machine Learning; Experimentation,M.Tech,Tiruchirappalli
198,IT/Software,Web Development; SQL; Machine Learning; Cybersecurity,B.Tech Information Technology,Kolkata
199,Education,Public Speaking; Curriculum Development; Classroom Management; Assessment Design; Teaching; Educational Research,M.Ed,Howrah
200,Gems & Jewellery,Jewellery Design; Quality Control; Retail Management; Merchandising; CAD Design,B.Des Jewellery,Tiruchirappalli
201,Design,3D Modeling; Graphic Design; Illustration,M.Des,Howrah
202,Pharamaceutical,Pharmacology; Quality Control; Drug Development; Regulatory Affairs,PhD Pharmacy,Chennai
203,Travel & Logistics,Inventory Management; Operations Management; Supply Chain,Diploma Logistics,Vijayawada
204,Education,Public Speaking; Assessment Design; Teaching; Educational Research; Classroom Management,PhD Education,Mysore
205,Education,Educational Research; Curriculum Development; Public Speaking; Classroom Management; Assessment Design; Teaching,PhD Education,Faridabad
206,Healthcare,Surgery Assistance; Nursing; Phlebotomy; Patient Care; Public Health,B.Sc Nursing,Solapur
207,Finance/Banking,Accounting; Excel; Investment Banking,CA,Allahabad
208,IT/Software,Cybersecurity; Python; SQL; Machine Learning,B.Tech Computer Science,Ludhiana
209,Design,AutoCAD; Graphic Design; UI/UX; 3D Modeling,M.Des,Meerut
210,IT/Software,Web Development; Cloud Computing; Cybersecurity; Java,B.Tech Information Technology,Thane
211,Housing/Infrastructure,AutoCAD; Civil Engineering; Urban Planning; Project Management,Diploma Civil,Varanasi
212,Healthcare,Nursing; Surgery Assistance; Phlebotomy; Public Health; Clinical Research; Patient Care,MBBS,Bhopal
213,Pharamaceutical,Regulatory Affairs; Pharmacology; Medical Research,PhD Pharmacy,Guwahati
214,Chemical Industries,Industrial Chemistry; Process Design; Safety Management; Material Science,M.Sc Chemistry,Delhi
215,Chemical Industries,Quality Control; Chemical Engineering; Industrial Chemistry; Process Design,B.Tech Chemical Engineering,Hubli
216,Design,Illustration; UI/UX; AutoCAD; Graphic Design,Diploma in Design,Agra
217,Education,Educational Research; Teaching; Curriculum Development; Assessment Design; Classroom Management; Public Speaking,B.Ed,Patna
218,Defence,Navigation Systems; Cybersecurity; Aerospace Engineering; Weapon Systems,B.Tech Mechanical,Srinagar
219,Defence,Cybersecurity; Strategic Planning; Military Tactics; Navigation Systems,Defence Studies,Nashik
220,Housing/Infrastructure,AutoCAD; Structural Analysis; Construction Management,M.Tech Structural Engineering,Bhopal
221,Housing/Infrastructure,AutoCAD; Civil Engineering; Construction Management,Diploma Civil,Tiruchirappalli
222,Agriculture,Irrigation Systems; Agribusiness; Soil Science; Crop Management; Fertilizer Application,Diploma Agriculture,Agra
223,Education,Public Speaking; Assessment Design; Classroom Management; Curriculum Development; Teaching; Educational Research,PhD Education,Thane
224,Gems & Jewellery,Gemology; Merchandising; Jewellery Design; CAD Design; Quality Control,Diploma Jewellery Design,Gwalior
225,Finance/Banking,Risk Management; Financial Analysis; Accounting,MBA Finance,Hubli
226,Defence,Weapon Systems; Strategic Planning; Aerospace Engineering; Cybersecurity; Military Tactics; Navigation Systems,B.Tech Mechanical,Howrah
227,Defence,Aerospace Engineering; Weapon Systems; Military Tactics; Cybersecurity; Navigation Systems,Defence Studies,Varanasi
228,Travel & Logistics,Customer Service; Inventory Management; Operations Management; Warehouse Management,MBA Operations,Kota
229,Finance/Banking,Accounting; Financial Analysis; Risk Management,B.Com,Pune
230,Education,Curriculum Development; Classroom Management; Assessment Design; Public Speaking,PhD Education,Guwahati
231,Pharamaceutical,Medical Research; Pharmacology; Drug Development; Clinical Trials,B.Pharm,Howrah
232,Education,Teaching; Educational Research; Curriculum Development; Classroom Management,PhD Education,Vadodara
233,Healthcare,Phlebotomy; Clinical Research; Patient Care; Nursing; Public Health; Surgery Assistance,Diploma in Medical Lab Technology,Meerut
234,Travel & Logistics,Customer Service; Operations Management; Warehouse Management; Transportation Planning; Inventory Management; Supply Chain,BBA,Agra
235,Pharamaceutical,Medical Research; Pharmacology; Regulatory Affairs; Drug Development; Quality Control; Clinical Trials,B.Pharm,Jaipur
236,Defence,Military Tactics; Cybersecurity; Weapon Systems; Navigation Systems,Defence Studies,Lucknow
237,Design,Graphic Design; Illustration; 3D Modeling; Adobe Photoshop; AutoCAD; UI/UX,M.Des,Hubli
238,Gems & Jewellery,Jewellery Design; Quality Control; Retail Management,Diploma Jewellery Design,Kanpur
239,Housing/Infrastructure,Structural Analysis; Construction Management; Project Management; Civil Engineering,B.Tech Civil,Ghaziabad
240,Travel & Logistics,Customer Service; Transportation Planning; Warehouse Management; Operations Management; Inventory Management,BBA,Ahmedabad
241,Research,Laboratory Techniques; Experimentation; Scientific Writing; Machine Learning; Statistics,M.Sc Research Methodology,Delhi
242,Housing/Infrastructure,Civil Engineering; Urban Planning; Structural Analysis; Construction Management,Diploma Civil,Patna
243,Chemical Industries,Quality Control; Safety Management; Industrial Chemistry; Process Design; Chemical Engineering,B.Tech Chemical Engineering,Tiruchirappalli
244,FMCG,Product Management; Marketing; Brand Management; Sales; Consumer Behaviour; Supply Chain,BBA,Bangalore
245,Healthcare,Nursing; Clinical Research; Surgery Assistance; Public Health; Patient Care; Phlebotomy,B.Sc Nursing,Chennai
246,Housing/Infrastructure,Construction Management; Project Management; Urban Planning; Structural Analysis; AutoCAD; Civil Engineering,M.Tech Structural Engineering,Hyderabad
247,Chemical Industries,Process Design; Chemical Engineering; Industrial Chemistry; Safety Management,B.Tech Chemical Engineering,Ahmedabad
248,Gems & Jewellery,Merchandising; Gemology; Jewellery Design; CAD Design; Retail Management; Quality Control,Certificate in Gemology,Aligarh
249,Pharamaceutical,Pharmacology; Drug Development; Medical Research; Clinical Trials; Quality Control,B.Pharm,Delhi
250,Travel & Logistics,Supply Chain; Operations Management; Transportation Planning; Warehouse Management; Inventory Management; Customer Service,Diploma Logistics,Navi Mumbai
251,FMCG,Sales; Marketing; Product Management; Consumer Behaviour; Supply Chain; Brand Management,MBA Marketing,Ranchi
252,Finance/Banking,Data Analysis; Investment Banking; Risk Management,B.Com,Ghaziabad
253,Gems & Jewellery,Quality Control; Retail Management; CAD Design; Jewellery Design; Merchandising; Gemology,Diploma Jewellery Design,Thane
254,Healthcare,Public Health; Surgery Assistance; Phlebotomy; Clinical Research; Nursing; Patient Care,Diploma in Medical Lab Technology,Kota
255,Defence,Strategic Planning; Cybersecurity; Navigation Systems; Military Tactics; Weapon Systems,B.Tech Electronics,Solapur
256,Defence,Aerospace Engineering; Navigation Systems; Military Tactics; Strategic Planning; Weapon Systems; Cybersecurity,B.Tech Electronics,Ahmedabad
257,Travel & Logistics,Operations Management; Supply Chain; Inventory Management; Warehouse Management; Customer Service,Diploma Logistics,Chennai
258,FMCG,Marketing; Product Management; Supply Chain; Brand Management; Sales; Consumer Behaviour,MBA Marketing,Delhi
259,Gems & Jewellery,CAD Design; Merchandising; Quality Control; Gemology,B.Des Jewellery,Kalyan
260,Design,Graphic Design; 3D Modeling; AutoCAD; Illustration,M.Des,Faridabad
261,Design,Illustration; Adobe Photoshop; AutoCAD; 3D Modeling; UI/UX,Diploma in Design,Chennai
262,Research,Experimentation; Machine Learning; Laboratory Techniques; Statistics,PhD,Kota
